ass1;ass2;dif
05.559;05.598;0.1
05.559;05.599;0
05.559;05.600;0.125
05.559;05.601;0.0
05.559;05.604;0.0909091
05.559;05.607;0.0666667
05.559;05.611;0.15493
05.559;05.613;0.0833333
05.559;05.614;0.204461
05.559;05.615;0.0
05.559;05.616;0
05.559;22.400;0.0
05.560;05.554;0.177778
05.560;05.555;0.111111
05.560;05.556;0.0879121
05.560;05.557;0.0852713
05.560;05.558;0.0359712
05.560;05.559;0.0350877
05.560;05.560;0.155556
05.560;05.561;0.0322581
05.560;05.562;0.102273
05.560;05.563;0.0629371
05.560;05.564;0.0674157
05.560;05.565;0.128205
05.560;05.566;0.0833333
05.560;05.567;0.075
05.560;05.568;0.0275229
05.560;05.569;0.042735
05.560;05.570;0.0583942
05.560;05.571;0.029703
05.560;05.572;0.0408163
05.560;05.573;0.0598291
05.560;05.574;0.0526316
05.560;05.575;0.0425532
05.560;05.576;0
05.560;05.577;0.0
05.560;05.578;0.0
05.560;05.579;0.0
05.560;05.580;0.0833333
05.560;05.581;0
05.560;05.582;0.0571429
05.560;05.583;0.0833333
05.560;05.584;0
05.560;05.585;0.204545
05.560;05.586;0
05.560;05.587;0.0454545
05.560;05.588;0
05.560;05.589;0.0724638
05.560;05.590;0.0337079
05.560;05.591;0.0
05.560;05.592;0.0
05.560;05.593;0.0625
05.560;05.594;0.0
05.560;05.595;0.157895
05.560;05.596;0.0689655
05.560;05.597;0.0689655
05.560;05.598;0.1
05.560;05.599;0.05
05.560;05.600;0.0588235
05.560;05.601;0
05.560;05.604;0.047619
05.560;05.607;0
05.560;05.611;0.0212766
05.560;05.613;0
05.560;05.614;0.0701754
05.560;05.615;0.0
05.560;05.616;0.0350877
05.560;22.400;0.0
05.561;05.554;0.233906
05.561;05.555;0.139423
05.561;05.556;0.152672
05.561;05.557;0.185535
05.561;05.558;0.15942
05.561;05.559;0.258427
05.561;05.560;0.0322581
05.561;05.561;0.192982
05.561;05.562;0.208989
05.561;05.563;0.152815
05.561;05.564;0.0952381
05.561;05.565;0.177711
05.561;05.566;0.0571429
05.561;05.567;0
05.561;05.568;0.238095
05.561;05.569;0.075
05.561;05.570;0.198718
05.561;05.571;0.265306
05.561;05.572;0.0869565
05.561;05.573;0.227273
05.561;05.574;0.0
05.561;05.575;0.211538
05.561;05.576;0.0
05.561;05.577;0.0
05.561;05.578;0.0
05.561;05.579;0.0
05.561;05.580;0.0
05.561;05.581;0.0
05.561;05.582;0.08
05.561;05.583;0.0
05.561;05.584;0.0909091
05.561;05.585;0.136364
05.561;05.586;0.0
05.561;05.587;0.0
05.561;05.588;0.0
05.561;05.589;0.157895
05.561;05.590;0.126761
05.561;05.591;0.0
05.561;05.592;0.0
05.561;05.593;0.0
05.561;05.594;0.0
05.561;05.595;0.0
05.561;05.596;0
05.561;05.597;0.0
05.561;05.598;0.0
05.561;05.599;0.0
05.561;05.600;0.0
05.561;05.601;0.0
05.561;05.604;0.0
05.561;05.607;0.0
05.561;05.611;0.22973
05.561;05.613;0.0
05.561;05.614;0.166667
05.561;05.615;0.0
05.561;05.616;0.0
05.561;22.400;0.0
05.562;05.554;0.528058
05.562;05.555;0.42757
05.562;05.556;0.225581
05.562;05.557;0.441536
05.562;05.558;0.291971
05.562;05.559;0.32419
05.562;05.560;0.102273
05.562;05.561;0.208989
05.562;05.562;0.606061
05.562;05.563;0.271429
05.562;05.564;0.273684
05.562;05.565;0.38
05.562;05.566;0.327869
05.562;05.567;0.4
05.562;05.568;0.302419
05.562;05.569;0.246479
05.562;05.570;0.445838
05.562;05.571;0.316667
05.562;05.572;0.166667
05.562;05.573;0.45614
05.562;05.574;0.0
05.562;05.575;0.470588
05.562;05.576;0.0
05.562;05.577;0.0
05.562;05.578;0.0
05.562;05.579;0.0
05.562;05.580;0.0
05.562;05.581;0.0
05.562;05.582;0.272727
05.562;05.583;0.0
05.562;05.584;0.0
05.562;05.585;0.425532
05.562;05.586;0.0
05.562;05.587;0.0
05.562;05.588;0.0
05.562;05.589;0.172414
05.562;05.590;0.220779
05.562;05.591;0.0
05.562;05.592;0.0
05.562;05.593;0.130435
05.562;05.594;0.0
05.562;05.595;0.0
05.562;05.596;0.166667
05.562;05.597;0.0
05.562;05.598;0.0
05.562;05.599;0.0
05.562;05.600;0.0
05.562;05.601;0.0
05.562;05.604;0.0
05.562;05.607;0.1
05.562;05.611;0.36875
05.562;05.613;0.0
05.562;05.614;0.231481
05.562;05.615;0.0
05.562;05.616;0.0
05.562;22.400;0.4
05.563;05.554;0.345223
05.563;05.555;0.194631
05.563;05.556;0.178174
05.563;05.557;0.206485
05.563;05.558;0.123077
05.563;05.559;0.175258
05.563;05.560;0.0629371
05.563;05.561;0.152815
05.563;05.562;0.271429
05.563;05.563;0.253165
05.563;05.564;0.171779
05.563;05.565;0.274436
05.563;05.566;0.159664
05.563;05.567;0.15
05.563;05.568;0.165
05.563;05.569;0.103448
05.563;05.570;0.269305
05.563;05.571;0.186235
05.563;05.572;0.11
05.563;05.573;0.173653
05.563;05.574;0
05.563;05.575;0.184211
05.563;05.576;0.0
05.563;05.577;0.1
05.563;05.578;0.0
05.563;05.579;0
05.563;05.580;0.142857
05.563;05.581;0.0
05.563;05.582;0.180328
05.563;05.583;0.0
05.563;05.584;0.153846
05.563;05.585;0.298969
05.563;05.586;0.0526316
05.563;05.587;0.272727
05.563;05.588;0.0
05.563;05.589;0.0898876
05.563;05.590;0.121359
05.563;05.591;0.0
05.563;05.592;0.0
05.563;05.593;0.103448
05.563;05.594;0.0
05.563;05.595;0
05.563;05.596;0.115385
05.563;05.597;0
05.563;05.598;0
05.563;05.599;0
05.563;05.600;0.0833333
05.563;05.601;0.0
05.563;05.604;0.136364
05.563;05.607;0.0
05.563;05.611;0.206107
05.563;05.613;0.222222
05.563;05.614;0.192369
05.563;05.615;0.0
05.563;05.616;0
05.563;22.400;0.25
05.564;05.554;0.76
05.564;05.555;0.358974
05.564;05.556;0.15
05.564;05.557;0.316456
05.564;05.558;0.138122
05.564;05.559;0.166667
05.564;05.560;0.0674157
05.564;05.561;0.0952381
05.564;05.562;0.273684
05.564;05.563;0.171779
05.564;05.564;0.354839
05.564;05.565;0.323944
05.564;05.566;0.166667
05.564;05.567;0.168224
05.564;05.568;0.120968
05.564;05.569;0.171141
05.564;05.570;0.253012
05.564;05.571;0.136364
05.564;05.572;0.152542
05.564;05.573;0.176471
05.564;05.574;0
05.564;05.575;0.235294
05.564;05.576;0.0
05.564;05.577;0.0
05.564;05.578;0.0
05.564;05.579;0.0
05.564;05.580;0.0
05.564;05.581;0.0
05.564;05.582;0.157025
05.564;05.583;0.0
05.564;05.584;0.111111
05.564;05.585;0.297872
05.564;05.586;0.357143
05.564;05.587;0.0
05.564;05.588;0.0
05.564;05.589;0.0465116
05.564;05.590;0.114695
05.564;05.591;0.0
05.564;05.592;0.0
05.564;05.593;0.0606061
05.564;05.594;0.0
05.564;05.595;0
05.564;05.596;0.0425532
