ass1;ass2;sol
05.562;05.580;0
05.562;05.581;0.114329268292683
05.562;05.582;0.0990853658536585
05.562;05.583;0.19359756097561
05.562;05.584;0.114329268292683
05.562;05.585;0.0640243902439024
05.562;05.586;0.125
05.562;05.587;0.11280487804878
05.562;05.588;0
05.562;05.589;0.234756097560976
05.562;05.590;0.128048780487805
05.562;05.591;0.153963414634146
05.562;05.592;0.19969512195122
05.562;05.593;0
05.562;05.594;0
05.562;05.595;0
05.562;05.596;0
05.562;05.597;0.123475609756098
05.562;05.598;0.17530487804878
05.562;05.599;0.147865853658537
05.562;05.600;0
05.562;05.601;0.211890243902439
05.562;05.604;0
05.562;05.607;0
05.562;05.611;0.125
05.562;05.613;0.132621951219512
05.562;05.614;0.295731707317073
05.562;05.615;0
05.562;05.616;0
05.562;22.400;0.132621951219512
05.563;05.554;0
05.563;05.555;0
05.563;05.556;0
05.563;05.557;0
05.563;05.558;0
05.563;05.559;0
05.563;05.560;0
05.563;05.561;0
05.563;05.562;0
05.563;05.563;0
05.563;05.564;0
05.563;05.565;0
05.563;05.566;0
05.563;05.567;0
05.563;05.568;0
05.563;05.569;0
05.563;05.570;0
05.563;05.571;0
05.563;05.572;0
05.563;05.573;0
05.563;05.574;0
05.563;05.575;0
05.563;05.576;0
05.563;05.577;0
05.563;05.578;0
05.563;05.579;0
05.563;05.580;0
05.563;05.581;0
05.563;05.582;0
05.563;05.583;0
05.563;05.584;0
05.563;05.585;0
05.563;05.586;0
05.563;05.587;0
05.563;05.588;0
05.563;05.589;0
05.563;05.590;0
05.563;05.591;0
05.563;05.592;0
05.563;05.593;0
05.563;05.594;0
05.563;05.595;0
05.563;05.596;0
05.563;05.597;0
05.563;05.598;0
05.563;05.599;0
05.563;05.600;0
05.563;05.601;0
05.563;05.604;0
05.563;05.607;0
05.563;05.611;0
05.563;05.613;0
05.563;05.614;0
05.563;05.615;0
05.563;05.616;0
05.563;22.400;0
05.564;05.554;0.141768292682927
05.564;05.555;0.132621951219512
05.564;05.556;0.108231707317073
05.564;05.557;0.182926829268293
05.564;05.558;0.17530487804878
05.564;05.559;0
05.564;05.560;0
05.564;05.561;0.164634146341463
05.564;05.562;0.128048780487805
05.564;05.563;0
05.564;05.564;0
05.564;05.565;0.138719512195122
05.564;05.566;0.134146341463415
05.564;05.567;0.123475609756098
05.564;05.568;0.0762195121951219
05.564;05.569;0.105182926829268
05.564;05.570;0.422256097560976
05.564;05.571;0.138719512195122
05.564;05.572;0.1875
05.564;05.573;0.167682926829268
05.564;05.574;0.155487804878049
05.564;05.575;0.326219512195122
05.564;05.576;0.173780487804878
05.564;05.577;0
05.564;05.578;0
05.564;05.579;0.0640243902439024
05.564;05.580;0
05.564;05.581;0.135670731707317
05.564;05.582;0.106707317073171
05.564;05.583;0.228658536585366
05.564;05.584;0.141768292682927
05.564;05.585;0.0792682926829268
05.564;05.586;0.141768292682927
05.564;05.587;0.163109756097561
05.564;05.588;0
05.564;05.589;0.263719512195122
05.564;05.590;0.170731707317073
05.564;05.591;0.163109756097561
05.564;05.592;0.216463414634146
05.564;05.593;0
05.564;05.594;0
05.564;05.595;0
05.564;05.596;0
05.564;05.597;0.167682926829268
05.564;05.598;0.23780487804878
05.564;05.599;0.172256097560976
05.564;05.600;0
05.564;05.601;0.259146341463415
05.564;05.604;0
05.564;05.607;0
05.564;05.611;0.141768292682927
05.564;05.613;0.173780487804878
05.564;05.614;0.364329268292683
05.564;05.615;0
05.564;05.616;0
05.564;22.400;0.173780487804878
05.565;05.554;0.144817073170732
05.565;05.555;0.141768292682927
05.565;05.556;0.129573170731707
05.565;05.557;0.173780487804878
05.565;05.558;0.170731707317073
05.565;05.559;0
05.565;05.560;0
05.565;05.561;0.144817073170732
05.565;05.562;0.129573170731707
05.565;05.563;0
05.565;05.564;0.138719512195122
05.565;05.565;0
05.565;05.566;0.140243902439024
05.565;05.567;0.138719512195122
05.565;05.568;0.0731707317073171
05.565;05.569;0.117378048780488
05.565;05.570;0.435975609756098
05.565;05.571;0.126524390243902
05.565;05.572;0.196646341463415
05.565;05.573;0.205792682926829
05.565;05.574;0.144817073170732
05.565;05.575;0.336890243902439
05.565;05.576;0.144817073170732
05.565;05.577;0
05.565;05.578;0
05.565;05.579;0.0807926829268293
05.565;05.580;0
05.565;05.581;0.13719512195122
05.565;05.582;0.125
05.565;05.583;0.219512195121951
05.565;05.584;0.126524390243902
